split,game,side,team,fb,fbtime,fd,fdtime,ft,fttime,cspm,goldat10,goldat15,result
summer,1,Blue,MVP,0,14.73348333,0,10.65408333,1,15.3627,31.50857143,13.862,21.377,0
summer,1,Red,Longzhu Gaming,1,14.73348333,1,10.65408333,0,15.3627,36.13714286,15.21,23.942,1
summer,2,Blue,Longzhu Gaming,1,10.87535,0,14.09721667,1,11.98363333,32.26690234,13.977,23.456,1
summer,2,Red,MVP,0,10.87535,1,14.09721667,0,11.98363333,32.87671233,14.206,23.207,0
summer,1,Blue,Jin Air Green Wings,1,1.051566667,0,11.12191667,0,8.6353,36.10810811,15.203,23.818,1
summer,1,Red,BBQ Olivers,0,1.051566667,1,11.12191667,1,8.6353,33.24324324,14.834,22.956,0
summer,2,Blue,BBQ Olivers,0,2.635016667,1,14.93113333,0,12.59741667,32.56320837,14.72,23.326,0
summer,2,Red,Jin Air Green Wings,1,2.635016667,0,14.93113333,1,12.59741667,32.66782912,15.988,25.438,1
summer,1,Blue,SK Telecom T1,0,9.793966667,1,15.72045,0,12.0971,33.04550758,14.117,22.315,0
summer,1,Red,Afreeca Freecs,1,9.793966667,0,15.72045,1,12.0971,31.57526254,15.114,25.001,1
summer,2,Blue,Afreeca Freecs,0,10.95896667,0,14.13185,1,15.92198333,34.0311804,14.54,22.433,0
summer,2,Red,SK Telecom T1,1,10.95896667,1,14.13185,0,15.92198333,33.47438753,14.194,22.908,1
summer,3,Blue,SK Telecom T1,0,15.02343333,1,16.34585,0,15.4145,36.34285714,14.323,22.091,1
summer,3,Red,Afreeca Freecs,1,15.02343333,0,16.34585,1,15.4145,34.06753247,14.618,22.264,0
summer,1,Blue,Samsung Galaxy,0,10.03658333,1,8.294166667,1,7.6996,34.0461997,15.198,23.492,1
summer,1,Red,Ever8 Winners,1,10.03658333,0,8.294166667,0,7.6996,34.38152012,14.603,24.134,0
summer,2,Blue,Ever8 Winners,1,3.646433333,0,9.575133333,1,9.3513,30.27370091,17.356,26.905,0
summer,2,Red,Samsung Galaxy,0,3.646433333,1,9.575133333,0,9.3513,32.91550972,15.073,24.985,1
summer,1,Blue,SK Telecom T1,1,2.16585,1,13.40356667,1,16.96678333,34.53603391,15.943,24.364,1
summer,1,Red,Jin Air Green Wings,0,2.16585,0,13.40356667,0,16.96678333,30.32501178,15.402,22.891,0
summer,2,Blue,Jin Air Green Wings,1,11.68188333,0,14.94045,0,14.05668333,32.62589928,14.472,22.275,0
summer,2,Red,SK Telecom T1,0,11.68188333,1,14.94045,1,14.05668333,35.53956835,14.999,24.654,1
summer,1,Blue,Longzhu Gaming,1,4.2177,1,10.47565,1,10.28315,34.50424929,15.734,24.724,1
summer,1,Red,Ever8 Winners,0,4.2177,0,10.47565,0,10.28315,32.83286119,14.272,22.916,0
summer,2,Blue,Ever8 Winners,1,4.138233333,0,15.12025,0,6.9996,30.28753994,14.744,21.968,0
summer,2,Red,Longzhu Gaming,0,4.138233333,1,15.12025,1,6.9996,31.89776358,16.653,25.374,1
summer,1,Blue,BBQ Olivers,0,3.358816667,0,11.7677,0,12.19398333,32.06349206,14.614,22.152,0
summer,1,Red,Samsung Galaxy,1,3.358816667,1,11.7677,1,12.19398333,34.63492063,16.287,26.556,1
summer,2,Blue,Samsung Galaxy,1,7.406083333,1,10.91533333,1,16.68908333,35.65268754,15.844,23.593,1
